Company name;Postcode;Primary UK SIC (2007) code;All UK SIC (2007) codes;Website
FANDUEL LIMITED;EH3 8UL;62011;62011;www.fanduel.com
BITE SIZE GAMES LIMITED;EH3 8HA;58210;58210;www.outplay.com
RETRO ARMY LIMITED;EH6 7JQ;62011;62011;
CODOJO LIMITED;EH15 2EB;62011;"62011
62012";www.codojo.co.uk
STOMPY ROBOT LTD;EH10 5PD;62011;"62011
62012";
THE SYSTEMS SOLUTIONS CONSULTANCY LIMITED;EH21 7DD;62020;"62011
62020
62030";www.syssols.com
BUTTERFLY DONUTS LIMITED;EH1 3SA;62011;62011;
CIRCULAR TRIANGLES LTD;EH13 0LT;62011;62011;
INSURGENT STUDIOS LIMITED;EH12 5HD;58210;"58210
62012";www.insurgentstudios.com
DRIMLIKE LTD;EH20 9LZ;62011;62011;www.drimlike.com
WEB 3D STUDIO LIMITED;EH6 5GD;62011;62011;www.web3d.co.uk
DIGITAL SCRAWL LTD.;EH3 9DQ;62011;"62011
62012";
180VITA LTD.;EH3 7BD;62011;"62011
73110";
MADE WITH NUMBERS LTD;EH6 5FF;62011;62011;
TICKET TECHNOLOGY LTD;EH3 5JU;62011;62011;www.tickettechnologies.co.uk
VITAL SPARK SYSTEMS LIMITED;EH41 4DA;62020;"62011
62020";
RAMPANT APPS LTD;EH54 8RZ;62011;62011;
ROCKSPIN LIMITED;EH2 3JG;62011;62011;www.rockspin.co.uk
SIGNET DEVELOPMENT LIMITED;EH52 6PU;62011;"62011
62012
62020";
SCOT STUDIOS LTD;EH54 6FL;62012;"58210
62012";www.mrbizweb.com
MIND ONE DIGITAL LIMITED;EH2 4JN;62011;62011;www.mindonedigital.com
TELERGY CONSULTANTS LTD;EH16 5PN;62011;62011;
SIMPLER SYSTEMS LTD;EH7 5AH;62011;"62011
62020";
HIPPOTRIX LTD;EH42 1XS;62011;62011;
CLOUDGINE LIMITED;EH3 8UL;62011;"62011
62012";www.cloudgine.com
QUADRIVIUM PROJECTS LIMITED;EH1 3RT;62011;"62011
62020";
WILD UX LTD;EH11 2BA;62011;62011;www.wildux.com
INCENTIVE GROUP LTD;EH12 5HD;62011;62011;
GYPSY LTD;EH49 7AE;62011;"62011
62012
62020";
ESK SOFTWARE LTD;EH21 7AN;62011;"62011
62012";www.esksoftware.com
SIMON PETER MEDIA LTD;EH6 4PH;58210;"58210
58290
62012
62090";
CORIDIUM STUDIOS LIMITED;EH6 6RR;62011;"62011
62012";
TUTOTOONS LIMITED;EH6 7BD;58210;58210;
ANT WORKSHOP LTD;EH5 3PN;62011;62011;
LAZY MONDAY LIMITED;EH15 2PN;62011;62011;
KEELWORKS LTD;EH6 7BD;58210;"58210
59120
59200
90030";
CREATIVTEK LTD.;EH7 6AB;62011;62011;
REACHIN MEDIA LTD;EH3 6SA;62011;62011;
GAME DR LIMITED;EH21 7QW;62011;62011;
ROCKIFI LTD;EH10 5LZ;62011;62011;
SOURCE CRAFTERS LIMITED;EH54 8GA;62011;"62011
62012
62020
63110";
BNXWARE LTD.;EH2 1EN;62011;"62011
62012
63110";
SQUARE SLICE STUDIOS LIMITED;EH12 5HD;62011;62011;
HIMANSHUCORP LIMITED;EH54 7DE;62011;"62011
62012
62020
62090";
POLARISED LIGHT LTD;EH9 1UL;58190;"58190
62011";
FUREAI LTD;EH2 4AD;32409;"32409
62011";
EARTHBOUND GAMES LTD;EH3 8EH;62011;62011;
